Model,Precision Score,Recall Score,F1 Score,Auc Score
Logistic Regression,,,,
Support Vector Classifier,0.5,0.00299625468164794,0.005953503856183765,0.886370451499926
Decision Tree,0.5839266024355483,0.5063670411985018,0.5404122412212223,0.8502259866234461
Random Forest,0.6693985803280145,0.6711610486891386,0.6699200241773964,0.9225960446622189
AdaBoost,0.6109816646951531,0.7288389513108615,0.6646462196180801,0.9112790604855181
KNN,0.7031217322948194,0.2262172284644195,0.3420450548021595,0.8472269057309767
Gaussian Naive Bayes,0.491646476615853,0.7116104868913858,0.5803147127219281,0.8632653277453339
